variant,plays,words,baseline,accuracy,margin
everything,409,3000,0.6209677419354839,0.8870967741935484,0.2661290322580645
everything,409,3000,0.5396825396825397,0.8888888888888888,0.3492063492063492
everything,409,3000,0.5691056910569106,0.8536585365853658,0.2845528455284553
everything,409,3000,0.5284552845528455,0.7967479674796748,0.2682926829268293
everything,409,3000,0.6935483870967742,0.8548387096774194,0.16129032258064513
everything,409,3000,0.5757575757575758,0.8484848484848485,0.2727272727272727
everything,409,3000,0.5080645161290323,0.8467741935483871,0.33870967741935487
everything,409,3000,0.5887096774193549,0.7903225806451613,0.20161290322580638
everything,409,3000,0.6422764227642277,0.8130081300813008,0.1707317073170731
everything,409,3000,0.5887096774193549,0.8467741935483871,0.25806451612903225
words 3+ letters,409,2955,0.6209677419354839,0.8709677419354839,0.25
words 3+ letters,409,2955,0.5396825396825397,0.873015873015873,0.33333333333333337
words 3+ letters,409,2955,0.5691056910569106,0.8373983739837398,0.2682926829268293
words 3+ letters,409,2955,0.5284552845528455,0.7804878048780488,0.2520325203252033
words 3+ letters,409,2955,0.6935483870967742,0.8629032258064516,0.16935483870967738
words 3+ letters,409,2955,0.5757575757575758,0.8409090909090909,0.26515151515151514
words 3+ letters,409,2955,0.5080645161290323,0.8467741935483871,0.33870967741935487
words 3+ letters,409,2955,0.5887096774193549,0.7580645161290323,0.16935483870967738
words 3+ letters,409,2955,0.6422764227642277,0.8211382113821138,0.17886178861788615
words 3+ letters,409,2955,0.5887096774193549,0.8467741935483871,0.25806451612903225
top 100 words only,409,100,0.6209677419354839,0.7903225806451613,0.16935483870967738
top 100 words only,409,100,0.5396825396825397,0.8015873015873016,0.261904761904762
top 100 words only,409,100,0.5691056910569106,0.7723577235772358,0.2032520325203252
top 100 words only,409,100,0.5284552845528455,0.7560975609756098,0.22764227642276424
top 100 words only,409,100,0.6935483870967742,0.8548387096774194,0.16129032258064513
top 100 words only,409,100,0.5757575757575758,0.8257575757575758,0.25
top 100 words only,409,100,0.5080645161290323,0.8064516129032258,0.2983870967741935
top 100 words only,409,100,0.5887096774193549,0.7258064516129032,0.13709677419354838
top 100 words only,409,100,0.6422764227642277,0.7560975609756098,0.11382113821138207
top 100 words only,409,100,0.5887096774193549,0.7903225806451613,0.20161290322580638
top 100 removed,409,2900,0.6209677419354839,0.9032258064516129,0.282258064516129
top 100 removed,409,2900,0.5396825396825397,0.8968253968253969,0.3571428571428572
top 100 removed,409,2900,0.5691056910569106,0.8617886178861789,0.29268292682926833
top 100 removed,409,2900,0.5284552845528455,0.8048780487804879,0.27642276422764234
top 100 removed,409,2900,0.6935483870967742,0.8709677419354839,0.17741935483870963
top 100 removed,409,2900,0.5757575757575758,0.8636363636363636,0.28787878787878785
top 100 removed,409,2900,0.5080645161290323,0.8629032258064516,0.3548387096774194
top 100 removed,409,2900,0.5887096774193549,0.7983870967741935,0.20967741935483863
top 100 removed,409,2900,0.6422764227642277,0.8292682926829268,0.1869918699186991
top 100 removed,409,2900,0.5887096774193549,0.8467741935483871,0.25806451612903225
dialect decile cut,368,3000,0.5225225225225225,0.8198198198198198,0.29729729729729726
dialect decile cut,368,3000,0.5130434782608696,0.8260869565217391,0.31304347826086953
dialect decile cut,368,3000,0.5826086956521739,0.808695652173913,0.22608695652173916
dialect decile cut,368,3000,0.5945945945945946,0.7927927927927928,0.19819819819819817
dialect decile cut,368,3000,0.5495495495495496,0.7837837837837838,0.23423423423423417
dialect decile cut,368,3000,0.5663716814159292,0.7699115044247787,0.20353982300884954
dialect decile cut,368,3000,0.5169491525423728,0.847457627118644,0.3305084745762712
dialect decile cut,368,3000,0.6486486486486487,0.7567567567567568,0.10810810810810811
dialect decile cut,368,3000,0.5315315315315315,0.7477477477477478,0.21621621621621623
dialect decile cut,368,3000,0.5585585585585585,0.7567567567567568,0.19819819819819828
