model,split,seed,baseline,accuracy,macro f1,margin
naive bayes,author-disjoint,0,0.6209677419354839,0.8870967741935484,0.879041248606466,0.2661290322580645
naive bayes,random,0,0.5983606557377049,0.8442622950819673,0.8335128923364217,0.24590163934426235
naive bayes,author-disjoint,1,0.5396825396825397,0.8888888888888888,0.8888608870967742,0.3492063492063492
naive bayes,random,1,0.6311475409836066,0.8032786885245902,0.7923404255319149,0.17213114754098358
naive bayes,author-disjoint,2,0.5691056910569106,0.8536585365853658,0.8520053475935829,0.2845528455284553
naive bayes,random,2,0.5655737704918032,0.8524590163934426,0.8491758241758242,0.28688524590163933
naive bayes,author-disjoint,3,0.5284552845528455,0.7967479674796748,0.7962631683561916,0.2682926829268293
naive bayes,random,3,0.5573770491803278,0.819672131147541,0.8165162701668034,0.2622950819672132
naive bayes,author-disjoint,4,0.6935483870967742,0.8548387096774194,0.8238636363636364,0.16129032258064513
naive bayes,random,4,0.5819672131147541,0.8114754098360656,0.8093102276588515,0.2295081967213115
naive bayes,author-disjoint,5,0.5757575757575758,0.8484848484848485,0.8472222222222223,0.2727272727272727
naive bayes,random,5,0.5819672131147541,0.8360655737704918,0.8315382491024579,0.25409836065573776
naive bayes,author-disjoint,6,0.5080645161290323,0.8467741935483871,0.8462843348339532,0.33870967741935487
naive bayes,random,6,0.5,0.8032786885245902,0.8024291497975709,0.30327868852459017
naive bayes,author-disjoint,7,0.5887096774193549,0.7903225806451613,0.7753623188405797,0.20161290322580638
naive bayes,random,7,0.5655737704918032,0.8360655737704918,0.835357624831309,0.2704918032786886
naive bayes,author-disjoint,8,0.6422764227642277,0.8130081300813008,0.7994328252392768,0.1707317073170731
naive bayes,random,8,0.5737704918032787,0.8442622950819673,0.8411784857828023,0.2704918032786886
naive bayes,author-disjoint,9,0.5887096774193549,0.8467741935483871,0.8459627329192546,0.25806451612903225
naive bayes,random,9,0.5655737704918032,0.819672131147541,0.8156593406593406,0.25409836065573776
small network,author-disjoint,0,0.6209677419354839,0.8951612903225806,0.8849146855143857,0.27419354838709675
small network,random,0,0.5983606557377049,0.819672131147541,0.8063492063492064,0.2213114754098361
small network,author-disjoint,1,0.5396825396825397,0.6507936507936508,0.6071428571428572,0.11111111111111116
small network,random,1,0.6311475409836066,0.7704918032786885,0.7428485395965071,0.1393442622950819
small network,author-disjoint,2,0.5691056910569106,0.8211382113821138,0.8167659804983749,0.2520325203252033
small network,random,2,0.5655737704918032,0.7377049180327869,0.7288888888888889,0.1721311475409837
small network,author-disjoint,3,0.5284552845528455,0.8130081300813008,0.809789551536341,0.2845528455284553
small network,random,3,0.5573770491803278,0.7704918032786885,0.7577304964539007,0.21311475409836067
small network,author-disjoint,4,0.6935483870967742,0.8870967741935484,0.8554778554778555,0.19354838709677413
small network,random,4,0.5819672131147541,0.8688524590163934,0.865934065934066,0.28688524590163933
small network,author-disjoint,5,0.5757575757575758,0.7727272727272727,0.7544642857142857,0.1969696969696969
small network,random,5,0.5819672131147541,0.7868852459016393,0.7783058428850993,0.20491803278688525
small network,author-disjoint,6,0.5080645161290323,0.782258064516129,0.7790244868325523,0.27419354838709675
small network,random,6,0.5,0.6967213114754098,0.6811020840692334,0.19672131147540983
small network,author-disjoint,7,0.5887096774193549,0.7096774193548387,0.7019230769230769,0.12096774193548387
small network,random,7,0.5655737704918032,0.7868852459016393,0.7866559052999731,0.2213114754098361
small network,author-disjoint,8,0.6422764227642277,0.7723577235772358,0.7547008547008547,0.13008130081300806
small network,random,8,0.5737704918032787,0.9016393442622951,0.8989229494614748,0.3278688524590164
small network,author-disjoint,9,0.5887096774193549,0.8145161290322581,0.8079073213443794,0.22580645161290325
small network,random,9,0.5655737704918032,0.8360655737704918,0.8331966092425486,0.2704918032786886
