play,genre,noble,servant
achat-ein-april-scherz,comedy,0.0,0.0
andre-cremeri-die-leiden-des-jungen-werthers,tragedy,0.0,0.0
andre-der-comoedienfeind,comedy,0.0,0.16666666666666666
angely-prinz-tu-ta-tu,comedy,0.0,0.0
anonym-amalie-und-charlotte-baronessen-von-habenichts,comedy,0.0,0.0
anonym-der-berliner-kuckkastenmann,comedy,0.0,0.0
anonym-der-deutsche-student,tragedy,0.0,0.0
anonym-der-von-der-liebe-betrogene-philosoph,comedy,0.0,0.0
anonym-die-verhandelte-braut,comedy,0.0,0.0
anonym-die-weiber-list,comedy,0.0,0.0
anonym-emilie-oder-die-philosophisch-verliebten,comedy,0.0,0.0
anzengruber-der-gwissenswurm,comedy,0.0,0.13333333333333333
anzengruber-die-kreuzelschreiber,comedy,0.0,0.08695652173913043
anzengruber-heimgfunden,comedy,0.0,0.1
auenbrugger-der-rauchfangkehrer,comedy,0.0,0.0
ayrenhoff-der-postzug,comedy,0.18181818181818182,0.0
ayrenhoff-virginia,tragedy,0.0,0.0
ayrer-comedia-von-der-schoenen-sidea,comedy,0.0,0.0
ayrer-comedia-von-zweyen-bruedern-auss-syracusa,comedy,0.0,0.0
ayrer-fassnachtspil-wie-einem-weib-jhr-eygener-mann,comedy,0.0,0.0
ayrer-tragedia-thesei,tragedy,0.0,0.0
babo-das-fraeulein-wohlerzogen,comedy,0.0,0.0
babo-das-winterquartier-in-amerika,comedy,0.0,0.16666666666666666
babo-die-maler,comedy,0.16666666666666666,0.0
baeuerle-die-buerger-in-wien,comedy,0.05263157894736842,0.05263157894736842
baggesen-der-vollendete-faust,comedy,0.04938271604938271,0.043209876543209874
bahr-das-konzert,comedy,0.0,0.0625
bahr-das-phantom,comedy,0.0,0.18181818181818182
bauernfeld-buergerlich-und-romantisch,comedy,0.07692307692307693,0.07692307692307693
bauernfeld-grossjaehrig,comedy,0.0,0.0
bauernfeld-industrie-und-herz,comedy,0.0,0.0
beer-der-paria,tragedy,0.0,0.0
beer-struensee,tragedy,0.10526315789473684,0.3157894736842105
beil-dieterich-von-ruben,comedy,0.0,0.0
benedix-die-hochzeitsreise,comedy,0.0,0.0
benedix-die-luegnerin,comedy,0.0,0.0
benedix-doctor-wespe,comedy,0.0,0.0
benedix-eigensinn,comedy,0.0,0.0
beyer-der-hausherr-in-der-klemme,comedy,0.0,0.0
birch-pfeiffer-vatersorgen,comedy,0.07692307692307693,0.0
bleibtreu-ein-faust-der-that,tragedy,0.0,0.0
bleibtreu-weltgericht,tragedy,0.02040816326530612,0.0
blumenthal-im-weissen-roessl,comedy,0.027777777777777776,0.027777777777777776
bodmer-polytimet,tragedy,0.0,0.0
boesenberg-die-amerikanische-waise,comedy,0.0,0.0
boettger-das-kaffee-haus-zu-paris,comedy,0.08333333333333333,0.0
borkenstein-der-bookesbeutel,comedy,0.0,0.0
bossdorf-de-rode-uennerrock,comedy,0.0,0.0
brachvogel-narziss,tragedy,0.22857142857142856,0.14285714285714285
brandes-hans-von-zanow-oder-der-landjunker-in-berlin,comedy,0.11764705882352941,0.058823529411764705
braun-mutter-maria,tragedy,0.18681318681318682,0.0989010989010989
braun-von-braunthal-faust,tragedy,0.05555555555555555,0.05555555555555555
brawe-brutus,tragedy,0.0,0.0
brawe-der-freygeist,tragedy,0.0,0.0
bredow-goerne-der-lauf-der-welt,comedy,0.4,0.0
bredow-goerne-gute-freunde,comedy,0.07692307692307693,0.0
bredow-goerne-hypatia,tragedy,0.07142857142857142,0.0
breithaupt-der-renegat,tragedy,0.0,0.0
brentano-ponce-de-leon,comedy,0.02702702702702703,0.43243243243243246
buechner-leonce-und-lena,comedy,0.09523809523809523,0.23809523809523808
buerger-die-antike-statue-aus-florenz,comedy,0.0,0.0
castelli-jeitteles-der-schicksalsstrumpf,comedy,0.0,0.0
chezy-der-neue-narziss,comedy,0.0,0.0
collin-balboa,tragedy,0.0,0.0
collin-coriolan,tragedy,0.0,0.0
costenoble-die-katze-laesst-das-mausen-nicht,comedy,0.0,0.0
cronegk-codrus,tragedy,0.0,0.0
cronegk-der-misstrauische,comedy,0.0,0.0
d-arien-natur-und-liebe-im-streit,tragedy,0.038461538461538464,0.038461538461538464
d-elpons-der-ahnherr,comedy,0.0,0.0
dehmel-michel-michael,comedy,0.05714285714285714,0.0
devrient-die-gunst-des-augenblicks,comedy,0.0,0.25
dohm-der-seelenretter,comedy,0.0,0.2
dohm-die-ritter-vom-goldenen-kalb,comedy,0.3333333333333333,0.16666666666666666
dohm-ein-schuss-ins-schwarze,comedy,0.0,0.0
dohm-vom-stamm-der-asra,comedy,0.0,0.0
droste-huelshoff-perdu,comedy,0.0,0.1
ebner-eschenbach-das-waldfraeulein,comedy,0.3157894736842105,0.05263157894736842
ebner-eschenbach-die-selbstsuechtigen,comedy,0.14285714285714285,0.14285714285714285
ebner-eschenbach-die-veilchen,comedy,0.5,0.125
ebner-eschenbach-maennertreue,comedy,0.0,0.08333333333333333
ebner-eschenbach-ohne-liebe,comedy,0.2857142857142857,0.0
eckardt-die-vergiftete-traube,tragedy,0.16666666666666666,0.16666666666666666
eckartshausen-der-pudelhund,comedy,0.125,0.125
eichendorff-der-letzte-held-von-marienburg,tragedy,0.12727272727272726,0.14545454545454545
eichendorff-die-freier,comedy,0.09090909090909091,0.09090909090909091
engel-der-diamant,comedy,0.125,0.0
engel-der-edelknabe,comedy,0.14285714285714285,0.14285714285714285
engel-eid-und-pflicht,tragedy,0.0,0.0
