play,author,year,subtitle,score
adolph-am-ersten-mai,Adolph,1919,Eine Tragikomödie der Arbeit aus Friedenstagen,0.4098807852360572
alberti-brot,Alberti,1888,Ein soziales Schauspiel in fünf Akten,-0.10388369451302158
alberti-im-suff,Alberti,1890,Naturalistische Spital-Katastrophe in zwei Vorgängen und einem Nachgang,0.11908148843342435
albrecht-theresgen,Albrecht,1781,"Ein Schauspiel mit Gesang, in fünf Aufzügen",-0.025278341729585915
alexander-die-verpfaendung,Alexander,1779,Ein Schauspiel in einem Aufzuge,0.06280002577828152
anonym-das-ehrenmaal-des-patrioten,(Anonym),1774,Singspiel,-0.37473846692519147
anonym-das-lustlager,(Anonym),1778,Schauspiel in einer Handlung,0.11029964027084173
anonym-das-muenchner-spiel-vom-sterbenden-menschen,(Anonym),1510,,-0.05202311373356676
anonym-das-urtheil-des-paris,(Anonym),1752,Ein Musicalisches Schäfer-Spiel in einer Handlung,-0.06725700443430944
anonym-der-gerettete-selbstmoerder,(Anonym),1783,Ein Schauspiel einem Aufzuge,-0.036382049074023017
anonym-die-gedruckten-theater-regeln,(Anonym),1779,Ein höchst nöthiger Versuch in einem Aufzuge von ***,0.11414165720774469
anonym-die-gespenster,(Anonym),1770,Funfzehntes Sprüchwort,0.08535437547371248
anonym-die-glueckliche-ueberschwemmung,(Anonym),1799,Ein ländliches Schauspiel in einem Aufzuge,0.036346543153634996
anonym-die-grands-von-frankreich-in-ihrer-wahren-gestalt,(Anonym),1814,Ein Banditenspiel in einem Act,-0.12707456869187758
anonym-die-mainzer-illuminaten,(Anonym),1793,Ein tragi-komisches Schauspiel in hundert Aufzügen,0.06963646681121916
anzengruber-das-vierte-gebot,Anzengruber,1877,Volksstück in vier Akten,0.14828697558656748
anzengruber-der-meineidbauer,Anzengruber,1871,Volksstück mit Gesang in drei Akten,0.1553310502312812
anzengruber-der-pfarrer-von-kirchfeld,Anzengruber,1870,Volksstück mit Gesang in vier Akten,0.11583856808694265
arnim-das-loch,Arnim,1811,Ein Schattenspiel,-0.056900987029892505
arnim-halle,Arnim,1811,Ein Studentenspiel in drei Aufzügen,-0.05547477588314908
arnim-jerusalem,Arnim,1811,Ein Pilgerabenteuer,-0.12127708280394968
arnim-marino-caboga,Arnim,1826,Dramatische Erzählung in drei Handlungen,-0.12588406876990565
auffenberg-der-loewe-von-kurdistan,Auffenberg,1826,Ein romantisches Schauspiel in fünf Acten. Nach W. Scott's Talisman bearbeitet,-0.1848889908150103
avenarius-faust,Avenarius,1919,Ein Spiel,-0.12368402806488606
babo-arno,Babo,1776,Ein militärisches Drama in zween Aufzügen,-0.03088352143787351
baeuerle-doktor-fausts-mantel,Bäuerle,1817,Ein Zauberspiel mit Gesang in zwey Acten,0.049765072491107794
ball-die-nase-des-michelangelo,Ball,1911,Tragikomödie,-0.10894191471666693
barlach-der-blaue-boll,Barlach,1926,Drama,0.0710723513079022
benedix-das-bemooste-haupt,Benedix,1839,Schauspiel in vier Aufzügen,0.07040650008396798
benedix-johanna-sebus,Benedix,1835,Drama in 1 Akt,-0.024912692926615035
benedix-unerschuetterlich,Benedix,1847,Vorspiel in einem Aufzuge,0.10137314128544252
benkowitz-die-jubelfeier-der-hoelle,Benkowitz,1801,Ein Drama zum Anfang des neunzehnten Jahrhunderts,-0.0531234998576088
berg-kalisch-berlin-wie-es-weint-und-lacht,Berg,1858,Volksstück mit Gesang in 3 Aufzügen und 11 Bildern,0.09351776277366185
bernard-faust,Bernard,1816,Große romantische Oper in drei Akten,-0.17599098494061965
