subset,plays,comedy,tragedy,baseline,accuracy,margin
all plays,409,241,168,0.6209677419354839,0.8870967741935484,0.2661290322580645
all plays,409,241,168,0.5396825396825397,0.8888888888888888,0.3492063492063492
all plays,409,241,168,0.5691056910569106,0.8536585365853658,0.2845528455284553
all plays,409,241,168,0.5284552845528455,0.7967479674796748,0.2682926829268293
all plays,409,241,168,0.6935483870967742,0.8548387096774194,0.16129032258064513
all plays,409,241,168,0.5757575757575758,0.8484848484848485,0.2727272727272727
all plays,409,241,168,0.5080645161290323,0.8467741935483871,0.33870967741935487
all plays,409,241,168,0.5887096774193549,0.7903225806451613,0.20161290322580638
all plays,409,241,168,0.6422764227642277,0.8130081300813008,0.1707317073170731
all plays,409,241,168,0.5887096774193549,0.8467741935483871,0.25806451612903225
verse only,131,44,87,0.8,1.0,0.19999999999999996
verse only,131,44,87,0.6,0.875,0.275
verse only,131,44,87,0.7727272727272727,0.9772727272727273,0.20454545454545459
verse only,131,44,87,0.75,0.95,0.19999999999999996
verse only,131,44,87,0.7380952380952381,0.9523809523809523,0.2142857142857142
verse only,131,44,87,0.7560975609756098,0.8780487804878049,0.12195121951219512
verse only,131,44,87,0.525,0.9,0.375
verse only,131,44,87,0.6530612244897959,0.9183673469387755,0.26530612244897966
verse only,131,44,87,0.5476190476190477,0.9523809523809523,0.40476190476190466
verse only,131,44,87,0.675,0.875,0.19999999999999996
prose only,264,188,76,0.6875,0.8375,0.15000000000000002
prose only,264,188,76,0.6666666666666666,0.9012345679012346,0.23456790123456794
prose only,264,188,76,0.6875,0.8375,0.15000000000000002
prose only,264,188,76,0.6875,0.7875,0.09999999999999998
prose only,264,188,76,0.7625,0.8875,0.125
prose only,264,188,76,0.7317073170731707,0.7560975609756098,0.024390243902439046
prose only,264,188,76,0.6790123456790124,0.8765432098765432,0.19753086419753085
prose only,264,188,76,0.6375,0.85,0.21250000000000002
prose only,264,188,76,0.7065217391304348,0.8260869565217391,0.11956521739130432
prose only,264,188,76,0.725,0.875,0.15000000000000002
