word,lean,toward
g,3.085,comedy
jungfer,2.457,comedy
de,2.444,comedy
i,2.34,comedy
papa,2.129,comedy
d,1.977,comedy
a,1.948,comedy
gnädige,1.682,comedy
baron,1.569,comedy
frau,1.506,comedy
fräulein,1.492,comedy
na,1.484,comedy
m,1.467,comedy
doktor,1.378,comedy
gnaden,1.367,comedy
vetter,1.337,comedy
erlauben,1.334,comedy
nu,1.305,comedy
wann,1.267,comedy
wahrhaftig,1.257,comedy
geld,1.239,comedy
eigentlich,1.173,comedy
hm,1.133,comedy
bekommen,1.114,comedy
he,1.113,comedy
schwert,-2.447,tragedy
kaiser,-2.362,tragedy
königin,-2.175,tragedy
mörder,-2.164,tragedy
götter,-2.067,tragedy
haupt,-1.964,tragedy
heil,-1.932,tragedy
blut,-1.714,tragedy
haß,-1.711,tragedy
ruhm,-1.68,tragedy
brust,-1.642,tragedy
fürsten,-1.59,tragedy
könig,-1.552,tragedy
tod,-1.516,tragedy
fürst,-1.492,tragedy
feind,-1.446,tragedy
tot,-1.446,tragedy
feinde,-1.396,tragedy
rache,-1.388,tragedy
volk,-1.351,tragedy
sturm,-1.308,tragedy
frieden,-1.3,tragedy
geschehn,-1.288,tragedy
grab,-1.276,tragedy
gen,-1.255,tragedy
